Student_ID,3_Path_Q1,3_Path_Q2,3_Path_Q3,3_Path_Q4,3_Path_Qa,3_Path_Qb,1_Path_Q1,1_Path_Q2,1_Path_Q3,1_Path_Q4,1_Path_Qa,1_Path_Qb,2_Path_Q1,2_Path_Q2,2_Path_Q3,2_Path_Q4,2_Path_Qa,2_Path_Qb,4_Path_Q1,4_Path_Q2,4_Path_Q3,4_Path_Q4,4_Path_Qa,4_Path_Qb,Preferred_Career_Path
37,7,8,5,7,7,6,8,7,8,5,5,8,5,7,7,8,7,7,8,8,7,8,5,8,1
38,8,5,7,8,6,6,7,5,6,5,8,8,7,5,7,5,5,5,5,8,5,5,7,8,2
39,7,7,8,5,7,5,8,8,7,6,6,7,7,7,5,7,5,7,6,8,7,6,7,5,3
40,8,5,8,5,7,8,7,5,5,6,7,7,8,7,8,7,5,6,8,6,8,8,8,7,3
41,7,6,8,5,7,8,8,7,7,6,8,5,5,6,5,8,8,7,7,6,8,6,8,6,2
42,8,8,6,6,8,5,8,6,8,6,5,6,6,8,5,6,7,8,6,6,8,7,6,8,3
43,6,8,8,8,6,6,8,7,8,7,7,7,5,7,6,6,8,8,7,5,5,5,8,8,4
44,6,6,6,8,6,7,6,6,5,7,7,7,5,7,6,6,6,8,7,7,7,8,7,8,1
45,7,7,7,5,5,8,5,6,6,8,5,6,6,8,5,6,6,7,5,6,8,5,6,8,3
46,6,7,5,5,5,6,6,5,7,5,8,8,7,5,7,7,7,7,5,6,8,7,7,7,3
47,6,7,6,6,6,6,6,6,5,8,8,6,6,5,7,6,7,5,7,6,6,6,8,7,2
48,8,5,5,7,6,7,8,5,8,5,5,7,6,5,5,5,7,8,5,5,7,5,5,7,4
49,7,5,5,6,6,5,7,7,8,6,7,6,8,6,5,6,6,8,5,8,8,7,7,7,3
50,6,8,6,7,5,6,5,8,5,7,5,6,8,6,7,7,6,5,7,7,5,8,6,5,1
51,5,8,7,7,6,5,8,7,7,5,7,5,6,6,5,7,8,5,7,5,5,6,7,8,3
52,7,8,7,8,7,6,8,5,5,5,5,6,5,8,5,8,7,5,6,7,5,8,5,6,1
53,6,5,5,5,7,6,5,8,5,7,6,8,8,8,7,8,7,8,5,6,5,5,6,8,3
54,6,8,7,7,7,5,7,7,7,6,8,7,5,8,6,7,6,5,6,8,8,7,8,5,2
55,7,8,8,5,5,8,5,5,8,8,6,7,5,5,5,8,6,5,6,5,5,7,7,7,2
56,5,5,6,8,7,6,6,6,8,6,7,5,6,6,6,8,7,7,8,5,7,5,7,5,4
57,6,7,7,7,5,7,6,6,5,6,6,7,8,8,7,6,8,6,8,7,5,8,5,8,4
58,6,8,7,7,6,7,5,7,5,8,8,8,5,5,8,6,6,5,5,5,8,7,6,5,2
59,7,5,6,6,8,6,7,6,7,6,5,6,6,7,8,6,7,6,5,6,8,5,7,6,4
60,8,5,8,5,6,8,8,8,8,8,6,6,8,6,7,8,5,8,7,7,7,5,8,6,3
61,8,6,6,7,7,7,5,7,8,8,6,6,6,8,5,8,6,8,5,6,8,5,5,6,4
62,6,8,8,7,6,6,5,8,5,8,7,8,7,8,7,8,8,6,8,6,8,5,6,7,1
63,5,5,8,6,6,7,7,8,5,7,6,5,8,5,8,7,7,7,7,8,6,8,7,5,3
64,8,6,7,8,6,7,7,5,6,8,8,5,7,8,6,7,8,6,7,5,7,8,8,8,1
65,7,8,8,6,5,6,7,7,8,7,8,5,5,8,8,8,6,8,5,7,6,8,6,6,3
66,7,8,8,6,5,5,7,5,5,6,6,8,6,6,8,8,8,8,7,6,6,6,5,7,3
67,7,7,8,7,8,5,7,7,6,5,8,7,7,5,5,7,6,8,7,8,6,8,5,6,2
68,7,6,7,6,8,6,7,6,8,7,6,6,5,6,5,7,6,7,6,6,6,7,8,8,2
69,5,6,5,8,8,5,6,5,5,6,8,5,7,6,7,6,5,5,7,7,5,6,8,7,3
70,8,7,5,7,5,6,6,5,6,5,7,8,8,6,6,5,7,5,6,8,6,6,6,7,3
71,8,6,7,7,6,8,6,7,6,7,6,7,8,7,7,7,6,5,8,8,8,8,7,7,2
72,6,8,7,8,7,5,7,7,8,6,7,6,6,7,6,5,5,5,7,5,6,5,7,7,2
73,6,5,5,8,7,8,6,7,7,8,8,7,5,7,7,7,8,7,5,8,6,5,7,5,4
74,5,5,6,5,7,7,6,6,6,6,5,8,6,8,7,6,6,6,7,7,6,8,8,6,3
75,6,5,7,7,7,8,8,6,7,7,5,6,8,6,7,5,6,7,8,8,7,7,6,6,3
76,6,5,5,6,6,6,5,6,8,5,7,6,5,8,6,5,6,8,8,5,7,5,8,5,4
77,5,7,6,5,8,7,7,5,7,5,6,6,7,5,5,6,8,6,7,6,6,8,6,7,3
78,6,7,5,7,5,6,8,7,8,8,5,7,8,6,8,6,6,5,8,5,5,8,8,5,4
79,8,6,6,7,5,7,7,7,7,5,5,8,7,8,5,7,5,6,8,6,8,6,5,7,1
80,8,6,5,5,6,5,8,7,8,8,8,5,8,7,6,5,6,8,7,6,8,6,8,6,3
81,8,7,5,7,5,7,8,5,6,5,7,8,8,5,8,5,6,5,6,7,6,6,8,7,2
82,7,6,8,8,5,5,8,5,7,6,8,8,7,7,8,5,7,5,8,5,5,5,5,6,4
83,6,5,8,5,5,5,6,7,6,8,5,8,8,5,7,6,6,8,7,8,6,7,5,6,3
84,5,5,5,6,6,8,6,6,8,8,6,5,7,5,8,6,7,8,5,8,7,7,5,5,3
85,7,6,7,5,5,7,5,8,8,7,5,5,6,5,5,6,5,5,8,7,5,8,7,8,2
86,8,8,7,7,8,5,8,8,6,8,8,5,7,7,7,8,6,6,8,8,8,7,8,7,3
87,8,8,8,5,6,6,5,6,5,8,7,7,7,5,5,5,6,5,6,6,8,8,7,5,2
88,7,7,8,7,7,7,8,8,7,5,5,5,7,7,6,6,6,6,8,6,8,8,7,6,1
89,8,6,7,6,7,7,6,6,7,6,8,6,8,6,7,6,8,8,6,7,6,7,6,8,3
90,6,6,7,7,6,7,7,6,5,6,7,5,5,5,8,7,6,8,6,6,7,6,7,7,1
91,5,5,6,7,8,7,6,8,5,5,8,5,5,6,8,8,6,7,5,5,8,6,8,5,1
92,8,5,5,8,7,7,8,5,8,6,6,8,7,5,6,5,8,6,6,8,7,5,7,8,3
93,6,8,7,8,6,6,8,6,8,6,8,8,8,6,5,5,7,6,6,7,8,7,6,5,2
94,5,5,7,7,8,7,8,7,8,7,8,7,8,6,5,8,7,8,7,5,8,7,7,8,3
95,6,8,7,8,6,7,8,7,7,6,6,5,6,8,6,6,7,7,8,6,8,7,7,5,1
96,8,8,5,8,7,5,8,7,7,6,7,6,5,8,8,7,8,8,6,5,7,7,8,7,3
97,6,5,7,8,6,6,8,8,8,5,7,8,5,5,8,6,5,8,8,8,5,8,6,6,2
98,5,6,5,8,6,5,7,8,5,7,6,6,8,5,6,6,5,8,8,7,5,7,8,6,3
99,8,8,5,7,6,6,7,7,5,7,6,6,5,5,8,8,7,6,7,8,5,7,6,6,2
100,7,7,5,5,7,7,5,6,8,8,7,7,5,7,6,6,8,7,8,5,7,6,7,5,3
101,8,5,5,7,8,8,8,5,8,6,6,7,5,8,6,5,8,6,6,7,5,5,5,5,4
102,7,8,5,8,8,8,8,6,7,7,8,5,6,8,8,6,5,7,5,7,7,8,5,6,4
103,7,5,5,7,8,5,7,6,7,6,8,6,6,7,7,7,7,7,8,5,7,5,6,5,3
104,6,6,5,5,8,7,8,8,6,8,5,7,6,8,8,6,7,8,6,8,8,6,6,8,3
105,8,7,5,5,8,5,7,6,7,6,7,6,8,7,5,8,5,6,7,8,8,8,7,6,3
106,7,5,8,8,6,7,5,5,5,8,8,5,6,8,6,6,7,8,8,6,6,5,5,5,1
107,6,7,8,8,5,6,5,5,7,8,5,6,7,5,6,5,8,5,7,5,7,6,6,5,1
108,7,6,8,7,6,6,5,8,6,7,8,8,7,6,5,6,5,7,6,8,6,6,7,6,2
109,8,7,6,6,5,8,7,5,6,5,5,6,8,6,7,8,7,5,5,5,8,7,5,6,1
110,7,6,5,6,7,7,8,5,6,5,7,7,6,6,7,6,7,6,6,8,7,7,5,8,1
111,7,7,5,7,8,8,6,7,8,6,8,5,6,8,7,6,6,6,8,6,6,5,6,7,3
112,5,8,5,5,8,8,8,7,8,8,6,6,7,5,7,7,7,7,5,5,7,7,8,6,3
113,5,7,6,6,6,6,8,7,6,8,8,5,6,6,5,5,8,8,6,5,5,6,5,6,4
114,8,6,8,7,7,7,7,7,6,5,7,5,8,6,5,7,7,6,6,6,8,8,5,8,1
115,5,8,7,5,8,8,8,6,8,6,7,7,7,7,8,8,8,5,6,5,8,5,6,6,3
116,8,8,5,7,5,5,6,7,7,8,8,5,6,8,8,8,7,7,5,7,8,8,7,7,3
117,5,5,5,8,8,7,8,5,6,5,6,7,8,7,5,6,8,5,8,7,8,7,8,7,3
118,5,6,6,6,7,6,8,6,7,8,7,5,5,6,5,6,7,5,5,8,8,7,6,5,2
119,5,8,8,6,6,6,7,6,6,7,7,6,6,5,6,5,6,6,5,5,7,7,7,7,2
120,6,7,6,8,8,6,6,8,5,8,6,5,7,5,5,8,5,8,5,8,6,8,5,5,2
121,5,7,6,6,5,7,6,5,8,7,6,8,6,7,5,6,7,5,5,6,7,5,8,6,3
122,8,7,8,6,7,6,7,6,7,5,8,7,8,5,5,6,5,8,6,8,7,5,7,5,2
123,6,7,8,6,6,8,5,7,5,8,8,5,5,8,6,8,6,7,7,8,5,7,8,6,1
124,6,7,7,6,8,7,6,8,8,6,8,6,5,7,5,7,5,6,7,5,6,7,5,5,2
125,7,7,5,7,5,8,5,6,8,6,5,5,6,8,7,6,6,5,7,6,7,6,6,6,1
126,7,5,7,5,6,6,7,8,8,8,7,7,7,7,6,7,7,7,5,5,7,7,6,5,4
127,8,7,8,5,7,5,7,5,8,5,7,5,7,8,5,7,8,7,5,5,5,5,7,8,4
128,8,6,7,7,6,5,5,6,7,6,8,6,5,5,6,5,7,6,8,7,8,5,6,5,2
129,6,6,5,6,8,5,8,5,7,6,6,7,5,5,8,8,7,6,7,7,5,8,7,7,3
130,8,6,5,7,7,7,7,8,6,6,8,6,5,7,7,7,5,5,7,6,5,7,6,6,2
131,5,5,8,7,7,5,6,5,6,7,5,6,8,8,5,7,5,7,8,5,6,6,7,7,3
132,7,7,7,5,6,8,6,8,5,8,5,5,6,5,5,8,8,6,8,7,5,7,5,8,1
133,5,6,8,6,8,7,8,6,8,6,5,5,6,5,7,5,5,5,6,8,7,6,5,5,2
134,6,8,5,6,5,5,6,8,7,7,7,7,7,5,5,7,5,8,8,8,5,5,5,6,3
135,5,8,8,5,8,5,5,8,5,8,6,7,8,5,6,6,8,8,5,7,8,6,6,8,3
136,7,7,7,6,5,7,6,7,5,5,6,5,8,6,5,8,5,6,8,8,7,8,7,8,1
137,7,7,5,7,6,5,6,7,6,6,6,8,8,8,7,5,6,5,5,8,8,7,7,5,3
138,7,8,8,6,5,5,6,6,5,6,5,6,7,8,5,8,5,6,5,8,7,5,5,7,4
139,5,8,6,5,6,7,6,5,7,6,7,6,8,5,7,8,7,5,6,5,5,5,6,7,4
140,6,6,8,5,8,6,6,6,5,5,7,7,8,7,5,5,8,7,5,6,8,7,6,8,1
141,8,7,6,6,6,5,6,8,7,7,7,6,7,7,6,8,6,7,8,5,8,5,8,6,4
142,5,5,7,8,6,7,7,6,8,8,6,8,6,8,8,6,8,8,5,8,6,8,7,5,3
143,6,5,5,7,6,7,7,8,5,5,7,7,6,6,8,5,6,8,5,5,8,8,5,6,4
144,6,8,6,5,7,5,8,7,7,7,7,6,5,6,5,5,5,7,7,6,8,6,7,8,2
145,6,8,8,5,5,6,7,7,7,5,8,8,8,8,8,5,5,6,5,6,8,8,5,7,3
146,6,7,5,5,8,5,5,8,6,7,6,6,8,6,8,7,5,8,8,8,6,7,6,6,3
147,7,6,6,6,5,5,6,6,7,6,5,8,7,5,6,5,7,6,5,8,6,7,5,8,3
148,7,5,8,7,7,8,7,5,5,8,5,5,6,7,5,7,5,5,8,5,7,7,7,7,1
149,6,5,7,5,7,5,8,5,7,8,7,8,5,6,7,7,5,8,7,7,6,6,7,7,3
150,6,7,6,7,6,5,8,7,5,7,5,7,5,8,6,5,6,6,5,6,7,5,6,6,1
151,8,6,5,6,7,5,8,7,8,5,6,8,5,7,6,6,5,6,7,5,5,8,8,8,3
152,5,6,6,7,6,6,8,5,7,5,5,6,6,8,7,6,8,8,8,8,6,5,8,7,1
153,5,7,6,5,5,6,5,6,8,8,8,8,8,7,8,6,5,8,7,7,7,8,8,8,3
154,6,5,7,5,7,6,7,7,5,8,6,7,6,6,7,6,7,7,6,8,8,5,6,8,3
155,5,5,8,8,6,8,5,8,8,5,8,6,5,5,5,7,6,7,7,5,8,8,6,7,2
156,7,5,7,5,6,6,5,6,7,5,6,7,5,8,7,6,8,6,6,7,5,8,5,6,3
157,8,5,8,5,6,7,6,7,7,5,7,7,8,5,8,8,6,6,6,6,7,7,8,6,3
158,6,5,5,7,5,8,8,6,7,8,5,5,5,8,7,6,5,5,8,5,5,7,8,6,3
159,8,5,8,7,5,6,7,8,8,8,8,7,5,7,8,6,8,5,8,6,8,6,6,8,3
160,6,8,7,7,8,7,5,5,5,5,8,5,5,7,8,6,6,7,7,5,6,6,5,6,1
161,6,5,6,6,5,5,7,7,8,5,8,5,6,8,7,6,8,6,8,5,6,5,6,8,3
162,8,7,5,7,5,8,6,8,8,6,6,6,8,5,8,5,7,7,7,8,8,6,7,8,3
163,7,7,5,7,5,5,5,8,8,7,5,8,6,6,7,5,5,6,7,6,7,6,5,7,3
164,6,5,5,5,5,5,7,7,7,8,8,7,7,8,6,6,5,5,7,6,8,8,6,5,3
165,5,7,6,5,5,7,6,8,8,7,6,5,8,5,8,7,6,7,5,7,6,8,6,6,3
166,8,8,8,7,6,8,5,7,8,6,8,5,8,8,6,7,8,8,7,8,8,8,6,6,1
167,7,6,7,7,6,8,8,5,7,6,5,8,5,6,6,8,7,6,8,5,6,7,6,5,1
168,5,6,8,6,6,5,6,5,8,6,5,5,7,5,6,6,7,7,5,5,5,8,6,5,4
169,5,8,8,6,5,6,7,8,6,5,5,8,8,6,8,5,5,8,5,7,8,5,7,5,4
170,6,8,5,6,5,5,6,6,6,5,8,5,7,6,7,8,7,8,7,8,5,8,5,7,3
171,7,5,8,8,6,7,6,6,5,8,6,7,6,7,5,5,7,7,5,8,6,6,6,8,2
172,5,6,5,5,8,5,8,7,6,7,8,5,5,7,7,7,5,8,7,7,7,7,7,6,3
173,6,5,5,7,8,7,7,8,6,6,6,8,6,8,8,6,6,8,8,6,8,5,8,7,3
174,6,7,8,8,7,6,6,5,8,5,8,8,5,7,7,8,7,7,6,6,8,7,5,6,1
175,6,5,5,6,8,8,7,7,8,5,6,7,8,7,7,8,6,7,6,8,6,8,8,5,3
176,6,5,5,7,5,6,8,5,6,7,7,7,5,8,6,7,5,7,7,6,8,6,7,8,3
177,6,5,7,7,5,7,5,7,8,5,8,6,6,8,8,8,7,8,8,6,5,7,8,8,3
178,8,5,8,7,8,5,5,5,6,8,7,5,5,5,7,8,6,5,7,5,6,7,5,6,1
179,7,5,7,5,8,7,5,7,7,5,5,5,7,8,5,6,8,8,5,8,8,6,8,5,1
180,5,8,7,5,5,5,7,7,6,7,6,5,5,7,6,5,6,5,7,5,7,7,7,5,3
181,5,8,6,6,8,6,8,6,6,7,7,6,5,6,6,6,5,7,5,7,6,7,7,8,2
182,6,7,7,5,6,7,5,7,5,7,7,8,7,8,6,6,8,6,6,8,5,7,8,5,1
183,6,7,7,7,7,8,5,5,8,5,8,6,8,7,6,6,6,8,8,6,8,8,7,5,1
184,7,6,7,6,5,5,7,8,5,8,6,7,6,6,8,7,5,8,6,8,5,7,5,8,3
185,8,5,7,7,5,6,5,6,5,7,8,8,6,5,7,7,5,8,7,7,7,7,8,6,3
186,7,5,7,7,8,6,7,8,8,5,7,5,6,6,6,6,8,7,6,6,5,5,5,6,4
187,6,6,7,5,7,6,6,6,6,6,7,5,6,5,8,8,5,5,8,5,7,8,8,6,2
188,7,8,5,7,5,5,6,6,6,5,7,8,5,8,8,8,8,8,8,6,5,8,6,8,3
189,8,8,5,7,5,7,5,5,6,8,7,6,5,7,7,8,7,5,7,6,6,5,7,6,3
190,6,5,5,6,8,7,8,7,8,6,8,8,6,5,6,8,6,7,6,8,6,7,7,5,3
191,8,5,7,7,5,5,6,6,7,7,7,6,8,7,5,7,5,6,5,7,6,8,5,6,3
192,7,6,5,8,6,6,6,7,6,6,6,6,6,5,5,7,6,8,8,7,5,8,5,7,2
193,6,6,6,7,5,7,8,6,8,8,5,6,8,6,8,7,8,8,5,6,7,8,8,6,3
194,6,7,6,5,6,6,6,6,7,6,8,6,7,6,5,7,8,7,7,8,5,8,8,7,3
195,8,8,6,8,8,6,8,5,6,6,6,7,8,6,6,5,8,6,7,8,7,5,7,7,1
196,6,7,6,5,5,7,6,5,6,6,6,6,5,5,7,5,6,7,5,5,5,8,7,5,4
197,6,8,8,6,6,8,8,8,8,7,6,5,8,8,5,7,8,5,5,5,8,7,8,7,2
198,5,5,8,6,8,8,5,8,7,8,8,5,8,7,5,8,7,8,8,8,7,5,6,8,3
199,8,8,6,8,8,5,8,6,8,6,7,7,8,5,7,6,7,6,5,6,7,5,7,5,4
200,8,5,8,5,5,8,6,8,5,5,6,5,6,7,5,8,5,7,6,6,6,6,8,6,3
201,6,6,7,8,8,6,8,5,5,6,5,6,5,7,7,8,6,6,6,7,5,6,5,5,1
202,8,5,8,5,5,7,6,6,7,5,6,6,8,7,8,7,6,7,8,5,5,8,8,7,3
203,5,8,8,6,5,5,5,6,8,5,5,7,5,8,6,5,6,6,8,6,6,5,6,8,3
204,5,6,6,8,7,7,7,8,6,7,8,8,6,7,6,6,6,7,7,5,7,5,8,5,4
205,5,6,8,8,6,5,6,6,5,7,7,6,8,8,8,8,8,5,7,6,5,5,7,8,3
206,6,8,5,8,6,7,6,7,7,8,5,8,8,7,7,8,7,8,5,6,6,6,5,7,4
207,6,7,7,5,5,8,5,7,7,7,7,8,8,6,7,5,5,7,8,7,7,8,5,5,3
208,6,8,5,6,8,7,7,7,6,6,5,6,5,6,7,8,7,8,7,5,7,5,8,8,4
209,5,5,8,6,7,5,7,6,5,8,6,6,6,7,5,7,5,8,5,6,5,7,7,5,3
210,8,8,5,5,6,7,8,5,6,8,7,6,6,8,6,7,5,5,5,5,7,6,7,5,4
211,6,7,8,5,5,8,6,7,7,7,7,7,6,8,8,6,5,8,5,5,5,8,5,8,4
212,6,8,6,8,6,5,7,7,5,6,7,8,5,7,6,7,7,7,7,8,5,5,8,7,4
213,5,7,5,7,7,8,7,7,6,8,6,5,7,7,6,5,8,5,5,6,7,8,7,7,3
214,5,8,5,7,8,6,8,6,5,8,8,8,6,7,8,8,6,8,6,5,5,7,5,7,4
215,8,5,7,7,8,6,5,5,7,6,8,6,6,7,8,8,6,6,7,7,7,6,5,6,1
216,8,7,8,7,6,6,6,7,7,8,6,7,6,8,5,8,7,7,6,5,8,6,6,5,4
217,5,5,5,5,7,5,5,6,7,7,7,8,8,5,6,7,5,7,8,8,8,5,8,8,3
218,6,5,8,7,7,8,8,6,7,6,6,6,7,6,8,7,6,7,8,8,8,6,8,8,3
219,7,6,8,8,6,6,7,7,8,6,8,6,8,6,7,6,6,8,6,8,8,6,6,6,3
220,7,5,5,7,7,7,8,8,5,6,8,5,5,7,6,8,7,8,5,8,7,5,5,5,4
221,8,5,8,7,5,7,6,8,6,7,6,6,8,8,5,6,7,6,5,6,6,6,7,6,3
222,8,6,8,6,8,7,6,6,6,5,8,6,6,7,6,5,5,8,6,6,5,7,8,8,2
223,5,5,5,6,6,5,7,6,6,8,5,7,7,8,5,8,7,5,7,8,7,6,8,5,3
224,8,7,8,8,7,7,7,8,8,7,8,7,8,7,8,5,8,5,6,8,5,6,6,8,2
225,8,7,7,5,5,7,7,7,6,8,7,5,5,5,5,8,7,5,6,8,5,8,5,7,2
226,5,7,6,8,5,5,5,6,5,7,7,7,7,8,5,7,6,8,7,5,5,7,5,5,4
227,5,6,7,6,5,8,7,7,5,5,5,5,5,6,6,6,5,8,7,8,7,5,5,5,1
228,8,6,8,5,5,8,5,7,5,7,8,7,7,6,6,7,8,6,8,7,6,8,5,6,3
229,5,5,6,6,8,7,8,5,6,8,7,8,6,5,6,8,7,8,7,6,5,7,5,8,3
230,7,7,5,8,5,7,7,5,7,8,6,7,8,8,7,7,8,8,8,6,5,5,7,5,4
231,5,5,5,7,6,8,5,6,7,5,8,5,5,6,6,7,6,5,6,5,7,8,5,5,3
232,8,5,5,8,7,8,7,5,5,7,6,7,7,7,5,7,8,5,8,5,5,7,7,6,3
233,7,8,7,6,6,8,7,8,7,8,5,6,5,7,5,8,7,7,6,5,6,6,6,6,2
234,7,8,8,5,8,6,5,5,6,8,7,5,8,5,5,5,8,5,5,6,8,7,5,6,2
235,6,6,8,6,6,7,5,7,7,8,7,8,8,6,5,6,6,7,8,5,6,8,5,5,4
236,6,6,6,5,7,5,6,7,5,7,5,5,7,6,6,8,6,8,8,8,5,5,8,7,1
237,7,5,6,8,5,6,6,7,8,6,5,7,5,6,7,5,8,7,5,7,8,5,5,6,4
238,7,5,6,8,7,7,6,6,6,7,7,5,5,5,7,6,5,6,5,7,5,7,6,5,2
239,5,8,7,5,6,7,6,6,7,8,6,5,8,8,5,7,7,7,7,5,8,6,6,5,3
240,7,8,8,5,7,6,6,6,8,7,8,7,6,7,5,6,7,6,7,7,5,5,7,7,4
241,8,8,5,5,6,8,7,5,5,8,6,6,6,7,7,8,8,7,8,8,6,8,5,7,3
242,8,8,5,7,5,7,8,6,5,6,8,6,7,5,8,6,7,5,7,5,5,8,5,6,4
243,6,6,8,5,6,5,5,6,8,8,6,6,7,5,5,8,6,6,7,7,7,7,7,8,3
244,8,7,7,6,5,6,8,8,7,5,7,5,6,8,8,6,5,5,5,6,7,5,7,6,1
245,5,6,5,5,5,8,8,6,8,7,7,5,5,6,5,5,8,6,8,7,6,8,7,5,3
246,7,6,6,7,8,5,5,8,6,7,8,6,8,5,8,5,7,6,7,7,5,7,6,6,2
247,7,5,5,6,8,8,7,5,7,6,6,5,5,5,7,7,6,6,5,6,6,8,7,7,3
248,6,6,5,6,6,5,8,7,7,7,8,5,8,5,7,7,7,8,5,7,8,6,8,8,3
249,5,8,8,5,6,8,5,6,6,5,8,8,7,6,6,7,5,7,6,6,8,6,7,6,3
250,7,8,6,7,7,6,6,5,6,6,5,6,5,7,6,7,5,7,7,8,7,6,6,6,1
251,5,6,8,7,8,7,7,5,8,8,8,7,8,8,8,6,7,8,8,6,6,7,8,7,3
252,8,5,8,7,6,6,7,7,7,6,6,8,7,5,5,7,5,8,7,5,5,5,7,6,2
253,8,8,7,5,7,6,6,8,7,7,7,5,5,8,6,5,5,7,5,7,8,6,6,6,2
254,7,5,7,7,6,7,8,6,5,8,6,6,6,6,7,5,6,8,5,6,6,7,5,6,4
255,8,7,6,8,7,6,5,7,7,7,5,8,7,8,8,7,7,8,8,6,5,5,7,6,1
256,6,7,7,5,5,6,7,8,6,6,5,7,6,7,5,8,8,5,5,5,7,6,6,6,3
257,8,8,8,8,8,8,6,5,7,7,5,7,7,5,8,5,8,5,5,7,7,7,7,8,2
258,7,6,8,6,7,7,8,8,7,7,6,8,5,5,5,6,7,5,7,5,7,6,7,6,2
259,5,7,8,8,5,7,5,6,5,6,7,7,5,7,7,5,6,8,7,8,5,8,6,5,3
260,8,8,8,6,6,8,5,7,8,6,8,7,6,7,6,8,7,6,5,8,6,7,8,6,1
